id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Skyline Kids,hip hop,confident,0.74,96,0.68,0.81,0.12
12,Velvet Letters,Luna Vale,r&b,romantic,0.58,88,0.72,0.69,0.34
13,Temple of Stars,Aeris Ensemble,classical,peaceful,0.22,64,0.61,0.18,0.97
14,Static Hearts,Chrome Youth,electronic,energetic,0.89,128,0.76,0.87,0.08
15,Dusty Roads,Hollow Pines,folk,warm,0.46,84,0.67,0.49,0.91
16,Island Window,Blue Harbor,reggae,relaxed,0.55,92,0.79,0.73,0.57
17,Iron Pulse,Ashfall,metal,aggressive,0.97,168,0.31,0.52,0.03
18,Blue Neon Smoke,Marlow Reed,blues,sad,0.33,70,0.28,0.44,0.88
19,Signal Fade,Phase Runner,drum and bass,restless,0.94,174,0.54,0.83,0.06
20,Sunday Window,Mira June,singer-songwriter,melancholy,0.39,76,0.42,0.50,0.93